MIN;AVG;MAX
3;136;192
58;142;194
62;145;212
55;143;193
52;144;205
52;137;201
58;140;190
55;142;210
47;137;195
51;133;196
34;131;179
82;134;191
52;136;188
52;137;198
59;138;193
50;137;200
62;138;192
52;134;186
104;139;193
51;137;225
55;138;170
55;137;177
53;138;184
38;138;193
28;135;195
52;138;200
51;137;186
55;139;184
50;138;192
58;139;183
54;138;182
56;136;192
55;135;197
53;139;222
52;138;206
49;138;187
52;138;168
58;137;199
56;139;188
57;138;181
53;139;212
55;140;212
57;136;189
54;138;191
54;139;184
51;138;184
56;138;197
60;140;208
26;138;203
49;138;190
58;137;190
58;138;200
52;137;195
52;138;179
52;137;211
52;135;179
55;136;178
53;134;170
50;138;196
53;136;190
41;138;183
49;134;216
53;138;189
51;140;187
56;139;194
55;140;196
52;140;198
53;139;182
54;141;188
55;140;179
52;139;178
24;138;187
53;143;193
3;140;196
14;118;200
8;127;174
