MIN;AVG;MAX
3;117;177
15;118;159
18;118;173
66;119;159
62;122;167
39;122;173
68;123;175
72;122;157
65;118;148
38;121;164
51;121;167
73;122;159
63;123;166
42;123;161
68;124;168
37;122;173
69;125;172
39;125;168
63;127;166
64;119;159
64;124;161
39;122;159
70;123;174
68;124;165
39;122;175
62;122;173
67;124;172
64;124;170
41;123;171
33;121;170
66;123;165
69;123;167
38;121;159
75;123;172
69;127;165
72;124;171
30;123;164
44;123;173
63;122;161
65;121;172
39;126;177
71;129;190
65;122;174
76;123;168
44;123;167
70;124;175
76;122;172
38;121;164
71;123;174
77;122;167
64;124;168
41;122;165
74;120;159
68;123;177
65;121;169
45;121;169
70;120;149
64;125;163
41;124;178
53;123;193
66;122;166
67;123;174
69;127;177
39;123;168
69;125;167
69;122;166
60;118;161
44;123;167
68;119;170
60;118;150
70;121;174
42;117;162
68;123;166
69;123;160
41;124;168
27;123;171
71;122;161
74;124;160
40;123;175
76;124;163
66;120;154
68;125;161
46;121;167
27;118;161
69;121;162
69;121;166
29;122;161
70;123;158
69;123;166
65;122;163
46;121;162
69;123;183
67;123;166
70;123;167
38;121;171
70;120;165
74;121;163
73;121;154
39;120;160
70;120;152
30;124;161
62;122;170
32;125;173
73;124;159
64;121;158
40;121;164
72;121;171
70;123;165
64;125;168
39;125;180
67;123;170
75;123;170
68;121;162
38;120;158
74;125;168
65;123;181
71;120;165
39;124;166
66;122;160
66;124;181
64;121;158
47;122;172
39;121;176
67;124;172
84;126;173
36;119;155
67;123;164
68;123;174
42;121;161
69;124;192
66;120;156
78;123;166
41;124;168
32;121;167
71;123;168
63;124;166
27;125;170
49;121;167
66;121;158
41;121;161
40;123;164
65;123;172
69;125;171
66;125;174
39;124;168
62;122;164
68;122;160
63;122;160
42;120;167
71;123;163
39;122;166
68;127;176
44;126;179
68;123;175
67;126;186
40;124;172
66;125;176
68;124;165
68;125;166
39;125;168
68;121;173
66;121;161
54;122;174
42;121;168
71;122;164
69;124;161
66;126;172
40;120;163
73;123;167
66;120;174
31;125;171
41;119;173
65;123;168
69;122;167
38;123;170
70;122;172
72;119;159
64;122;177
40;122;167
64;119;158
68;123;161
70;124;156
40;118;169
26;124;161
65;121;159
67;121;163
44;121;172
66;120;160
72;122;168
75;124;174
35;121;154
68;125;172
65;124;187
64;123;174
39;120;154
72;123;160
83;123;176
67;124;164
40;122;171
33;122;170
49;121;169
73;124;168
41;124;177
76;126;170
71;123;170
43;125;171
27;125;178
67;128;171
73;123;164
37;120;159
65;126;181
72;128;183
77;128;180
41;125;177
18;120;163
20;127;177
69;124;171
41;122;161
71;123;180
70;126;172
67;123;157
44;125;180
71;124;156
78;122;166
40;123;175
68;124;160
69;123;165
67;124;166
40;119;155
71;124;176
68;126;172
67;124;160
44;124;158
69;125;168
72;126;171
68;125;178
39;123;172
67;127;160
68;125;180
38;120;167
69;118;163
62;115;145
66;118;154
41;119;166
63;119;157
63;120;181
76;118;171
40;120;158
69;117;176
61;119;160
67;118;164
38;119;181
58;118;156
69;119;151
67;117;157
39;120;183
61;120;171
94;118;153
70;118;145
42;118;158
67;121;167
67;119;166
63;120;161
44;119;162
65;120;160
68;120;174
69;121;182
40;119;166
63;122;157
66;119;165
68;120;164
39;120;167
72;119;166
65;120;157
65;120;163
40;120;165
69;118;142
64;122;166
69;122;177
41;121;171
61;121;154
69;120;151
65;121;157
37;121;165
70;122;167
68;120;160
63;118;162
38;118;173
67;122;186
66;121;175
71;119;160
39;119;164
75;122;155
72;119;170
62;119;165
43;118;166
67;123;158
68;118;152
75;121;165
36;120;154
68;121;155
68;119;150
40;121;167
68;123;166
63;120;149
75;122;162
40;120;165
71;119;169
74;123;170
65;120;171
37;122;153
68;118;149
69;121;174
69;123;175
44;125;176
73;121;160
68;123;171
66;122;153
38;121;168
72;121;167
67;122;161
64;121;166
38;123;165
67;122;171
67;122;172
14;122;157
37;124;182
24;119;156
68;120;156
54;118;161
36;122;171
69;124;169
63;122;159
65;122;172
44;125;175
66;123;174
67;123;160
41;123;172
69;127;180
66;128;174
66;125;172
50;123;167
72;124;165
67;124;169
69;125;163
40;122;178
28;117;158
67;121;178
72;123;153
39;120;156
65;121;158
69;123;165
71;124;173
40;126;176
31;125;182
26;124;170
67;124;170
33;127;176
69;124;154
70;124;170
43;124;166
66;126;167
73;123;166
63;124;171
37;125;168
70;125;170
63;125;162
74;135;188
40;129;170
106;130;177
68;127;173
108;127;180
49;128;169
64;124;180
102;125;174
41;121;174
63;124;159
65;126;167
69;123;175
39;125;185
62;124;163
67;121;153
70;123;159
58;124;174
67;122;152
