MIN;AVG;MAX
3;202;289
20;253;298
82;256;292
152;256;294
145;251;289
89;249;287
148;258;291
144;260;290
70;247;292
104;241;288
79;245;289
86;259;287
136;246;290
151;254;290
89;263;293
148;267;293
149;264;293
93;264;295
137;262;292
206;261;292
93;256;290
213;264;292
142;259;292
84;262;291
219;265;295
137;265;298
86;262;294
189;260;291
136;254;293
94;261;293
148;265;292
149;267;291
91;266;292
146;265;294
147;266;291
89;264;294
156;263;293
200;261;292
85;255;290
148;262;290
102;256;290
91;262;290
95;255;292
6;237;287
46;231;285
87;255;285
149;256;284
145;256;283
88;225;284
