MIN;AVG;MAX
3;186;255
18;197;262
3;177;252
78;127;157
60;124;158
72;118;151
57;127;162
99;130;163
94;124;154
95;127;161
90;124;161
5;126;159
60;113;153
3;113;149
67;117;152
66;116;153
64;112;153
65;118;158
54;108;156
52;101;161
60;102;142
70;116;162
39;114;162
64;111;161
67;116;151
67;127;159
58;125;155
67;124;159
63;123;159
61;111;150
68;123;161
69;123;158
75;125;159
66;123;160
65;119;156
64;118;156
57;125;160
72;128;161
66;123;162
68;125;161
71;129;161
67;127;162
74;129;158
74;126;160
73;131;164
46;129;163
67;125;155
69;126;160
76;128;162
73;127;164
66;125;160
59;122;158
73;127;156
71;128;163
66;124;164
63;123;157
8;115;156
54;108;152
67;126;163
68;127;165
69;128;162
68;127;159
67;127;159
71;129;161
55;117;164
8;126;157
30;104;145
69;122;158
43;116;149
59;114;157
61;112;160
50;111;158
61;121;158
62;123;158
71;126;158
69;119;154
64;122;158
66;123;157
63;119;157
6;123;163
74;173;220
