MIN;AVG;MAX
3;219;277
19;219;277
22;228;280
7;217;272
71;175;223
67;168;217
102;186;218
96;183;224
73;199;231
111;201;232
83;189;215
100;181;217
87;155;214
80;152;215
95;179;218
96;177;215
60;176;212
87;185;215
91;181;214
114;189;212
65;157;210
80;179;218
97;176;220
97;177;215
78;174;212
67;184;216
85;159;212
93;184;218
71;177;218
58;191;219
104;195;219
79;182;217
57;161;212
96;185;214
98;186;219
93;190;221
87;188;218
107;188;218
95;188;222
89;190;213
110;178;212
102;179;213
62;142;211
48;182;213
65;175;213
100;189;215
100;182;216
114;185;212
97;190;214
116;189;215
72;189;213
97;186;214
96;189;213
111;183;213
88;188;215
87;187;214
98;184;212
115;187;212
58;189;213
114;191;216
104;183;213
99;175;212
91;172;214
92;156;213
82;152;211
95;179;212
89;176;215
