MIN;AVG;MAX
3;53;139
15;122;173
20;112;159
40;110;138
64;123;159
67;132;177
44;122;168
64;124;173
110;127;167
67;121;164
103;122;153
64;121;151
68;122;177
60;120;183
71;134;184
5;122;148
15;108;153
6;93;146
37;93;123
47;86;116
36;84;109
33;69;92
44;69;85
40;74;95
45;70;94
52;75;88
55;78;93
57;78;91
53;77;92
55;78;95
53;75;90
53;73;87
50;73;90
6;72;94
44;71;91
51;74;87
5;71;92
18;62;79
44;56;63
44;59;80
42;60;83
43;71;82
48;69;81
5;64;80
6;68;87
44;60;76
30;71;84
51;73;86
66;74;90
52;73;90
53;73;84
55;75;86
20;74;88
52;74;88
52;73;82
50;74;88
53;73;86
56;73;86
49;74;84
54;74;84
51;73;88
5;74;110
49;92;124
