MIN;AVG;MAX
3;102;154
15;113;168
19;112;157
65;120;160
63;115;140
40;118;159
69;118;168
44;118;164
65;117;173
41;118;150
66;120;171
66;121;161
3;111;174
22;94;121
4;93;143
58;79;100
38;82;120
49;85;124
31;78;119
54;74;110
54;79;101
50;76;107
36;77;98
44;79;114
48;82;129
28;89;130
47;74;98
47;78;105
58;82;118
32;78;117
48;79;105
39;71;94
36;74;111
46;74;121
47;78;121
46;73;101
36;74;93
50;75;102
49;79;118
48;74;107
30;73;100
55;72;90
47;83;110
41;78;106
33;75;101
46;76;118
47;87;109
35;81;132
50;83;121
44;86;113
45;80;116
29;74;117
36;79;112
48;75;133
32;77;107
48;77;108
48;80;120
49;78;112
35;76;104
59;82;105
40;78;103
47;74;107
30;71;123
50;77;111
46;87;121
30;83;116
61;78;110
50;74;90
48;74;107
30;74;90
48;78;102
50;76;109
44;77;95
34;84;138
49;78;116
50;77;94
48;77;126
32;75;100
46;76;100
62;78;98
30;81;115
60;77;128
49;75;103
49;74;101
32;70;90
44;88;129
49;73;93
57;78;96
33;78;105
49;73;91
50;74;103
30;77;110
45;83;114
49;78;95
46;79;93
28;80;112
