MIN;AVG;MAX
3;99;151
13;109;152
20;111;155
28;108;158
38;115;165
44;116;153
63;115;144
69;115;151
61;117;164
36;114;152
67;117;152
60;114;160
91;118;163
37;112;155
3;106;151
37;99;122
5;93;137
17;114;163
14;90;144
12;88;127
13;19;79
15;75;144
11;84;145
15;88;147
3;105;164
3;97;179
16;93;130
3;95;142
19;93;142
3;103;132
18;89;135
17;95;156
3;93;132
3;94;148
3;74;148
3;98;134
12;101;144
17;96;127
17;86;120
18;103;162
18;84;160
6;96;163
12;56;152
13;70;143
11;38;120
10;28;130
10;59;115
47;96;153
10;85;148
13;76;157
10;79;156
10;17;63
13;107;162
60;117;169
13;104;166
18;103;163
12;101;152
18;104;143
63;113;156
65;113;155
9;108;137
18;103;155
35;111;161
