MIN;AVG;MAX
3;198;280
21;212;274
107;212;277
116;225;279
97;210;278
92;215;276
123;221;270
140;232;274
122;229;279
118;230;278
140;231;279
111;215;273
129;229;273
117;222;273
151;231;277
57;233;280
136;229;275
137;224;275
129;229;279
160;235;276
135;226;274
136;226;276
157;228;276
118;231;277
133;224;273
110;216;276
85;225;273
158;231;276
120;231;274
60;229;272
125;230;274
121;231;276
134;234;277
135;231;280
162;232;274
122;228;276
127;224;274
139;228;276
127;234;275
141;227;275
117;219;277
119;217;273
118;225;275
88;217;276
45;221;276
109;215;270
78;210;270
114;205;272
115;214;271
116;227;271
126;226;279
129;222;272
94;224;271
138;222;275
137;227;275
125;232;277
131;232;276
118;220;276
48;225;273
128;231;275
112;223;276
107;214;273
94;209;269
130;224;279
96;222;281
126;227;272
131;234;276
126;224;276
125;222;272
119;231;282
121;233;276
131;232;275
119;226;276
60;230;274
114;215;281
131;233;275
116;232;277
130;231;274
108;227;276
136;230;277
142;240;279
138;241;277
133;238;278
141;240;275
130;227;273
135;235;276
140;239;277
60;240;278
118;242;281
145;232;274
134;239;279
134;241;276
133;238;277
130;239;280
130;237;278
143;242;281
116;242;279
124;233;280
141;236;279
139;241;276
127;235;278
61;240;278
145;242;278
124;239;279
102;229;276
119;240;279
139;242;277
139;240;278
112;231;274
99;208;271
123;222;280
121;223;275
122;230;275
137;229;274
103;213;271
54;211;273
116;223;276
125;232;275
140;232;275
135;231;278
124;223;278
91;224;276
90;222;279
129;234;275
128;221;276
130;225;271
128;231;274
126;233;278
127;220;275
113;210;274
53;219;273
52;214;275
103;218;269
3;216;275
12;178;247
106;226;279
117;224;279
138;229;277
128;233;281
132;224;276
133;231;277
135;233;277
128;233;279
114;233;276
137;232;278
56;231;276
131;232;279
110;227;275
156;233;274
127;229;276
124;232;280
127;233;277
137;228;275
165;233;275
115;226;274
100;211;274
135;218;271
131;231;274
146;227;282
60;231;278
130;223;275
131;226;276
111;231;276
144;226;274
109;228;273
128;221;279
111;220;275
126;223;274
99;226;278
90;219;276
104;212;273
126;229;280
124;229;276
125;231;274
54;230;276
140;231;279
138;227;278
133;230;276
107;233;275
118;223;274
125;227;281
138;230;279
135;226;276
113;231;279
120;223;275
124;229;274
122;221;275
126;228;282
58;231;275
127;231;275
126;223;276
128;225;274
119;231;275
121;233;277
98;221;273
79;207;269
85;211;271
84;216;274
111;207;274
73;204;273
132;229;274
122;228;277
129;230;277
55;221;273
117;220;272
122;231;275
116;230;275
140;229;276
139;224;276
128;231;276
124;232;277
116;226;277
104;217;276
134;223;278
125;227;274
130;231;290
123;230;275
49;224;278
116;203;273
130;226;273
122;228;276
135;231;279
113;228;276
126;229;278
78;216;277
88;223;276
130;229;276
129;229;273
136;232;283
119;232;274
135;231;278
139;234;278
62;231;277
120;231;279
126;229;277
109;229;274
114;228;276
121;223;277
133;228;279
111;227;274
116;228;275
117;225;279
112;211;276
94;186;266
111;199;268
119;228;274
138;241;282
59;242;279
142;234;275
129;232;277
136;238;277
118;223;272
143;237;276
113;228;275
145;242;278
40;239;281
133;243;280
152;249;278
133;238;278
136;244;279
66;240;278
150;248;279
146;252;280
142;251;279
147;249;280
134;250;279
114;230;278
80;207;271
135;240;279
125;232;276
129;247;281
128;242;280
132;241;281
146;243;280
44;225;276
117;229;278
119;231;279
138;236;277
135;240;278
122;219;279
121;224;279
139;246;280
127;232;282
129;226;275
135;238;275
106;222;277
116;223;278
135;242;279
59;236;278
141;237;276
127;241;279
115;241;277
133;239;278
150;244;275
123;239;279
108;221;277
122;226;275
121;236;275
126;226;276
135;241;277
140;244;279
123;219;276
66;235;283
102;237;280
118;230;278
135;228;282
116;230;280
75;221;277
129;234;278
113;240;278
134;244;278
114;240;281
146;248;282
144;249;282
155;243;282
117;214;274
66;247;278
136;247;281
108;240;280
115;226;276
134;238;284
136;252;283
138;237;282
105;204;279
135;243;281
146;250;286
129;230;280
135;237;280
151;246;280
117;243;280
60;232;281
113;231;281
127;245;280
150;250;281
145;237;283
141;250;280
145;250;280
153;252;282
150;245;279
151;251;282
140;247;276
148;249;280
149;239;282
65;244;279
152;244;278
123;213;274
119;229;270
142;244;280
122;243;281
138;240;282
114;240;280
111;242;277
129;248;278
132;226;275
142;229;275
142;231;279
140;238;278
59;228;277
135;241;278
99;241;278
114;200;271
47;161;252
112;217;269
110;222;274
131;219;276
117;234;276
139;221;274
129;229;277
123;232;279
123;233;276
119;229;275
133;235;278
58;232;276
161;237;280
118;220;274
116;232;280
135;229;278
120;231;279
53;202;278
125;219;277
60;221;277
113;217;274
95;213;277
183;242;278
107;238;285
136;236;281
62;230;283
141;235;282
148;239;281
128;240;281
152;237;282
163;241;281
134;243;283
138;241;283
108;238;280
158;246;283
172;244;286
136;246;281
136;247;283
129;242;281
64;245;279
147;242;281
141;247;284
137;252;284
149;247;281
152;251;281
128;244;282
125;248;281
144;251;284
145;246;289
130;244;281
132;246;283
142;247;281
56;235;280
153;249;281
137;248;283
139;247;280
140;240;283
137;247;281
128;250;282
144;247;282
139;248;279
149;248;282
134;249;279
150;248;282
129;247;282
64;247;280
144;245;279
148;246;279
147;249;279
150;249;279
156;250;282
153;251;281
145;248;280
152;247;282
150;248;281
143;248;282
128;245;282
149;243;279
54;250;280
144;251;283
150;249;282
142;247;278
150;249;278
148;252;280
142;248;279
149;247;283
150;245;283
128;247;285
144;244;280
138;242;277
126;248;282
60;243;281
148;246;280
148;242;281
144;249;278
148;246;278
127;241;278
139;248;281
147;250;284
139;238;279
140;249;283
135;247;278
135;247;281
144;249;279
140;245;282
63;245;284
