MIN;AVG;MAX
3;80;113
14;94;155
16;98;129
4;78;122
46;84;107
31;81;123
33;76;92
44;75;107
47;74;103
31;73;96
44;78;102
44;72;96
36;71;89
43;69;92
48;75;101
27;81;120
40;74;100
31;77;112
34;75;110
38;71;94
48;75;96
29;71;106
39;78;102
39;79;119
34;77;98
45;81;96
36;67;104
49;81;107
30;75;99
51;82;103
40;80;94
33;78;98
49;80;101
36;72;121
26;68;103
36;78;105
51;86;120
33;87;125
62;89;123
44;81;127
46;85;116
34;77;102
51;77;109
44;80;134
34;87;115
55;89;106
44;79;103
43;75;97
29;82;101
49;83;117
44;76;115
34;73;98
45;76;104
36;69;114
34;70;95
44;79;100
46;82;105
34;77;92
47;79;100
50;82;113
55;90;111
33;94;120
48;84;100
44;70;94
39;72;91
30;73;100
38;70;93
38;72;94
35;82;102
50;84;118
49;81;109
33;82;116
46;80;107
42;80;105
29;76;102
43;79;107
48;79;99
35;82;116
41;81;108
50;79;101
59;90;117
