MIN;AVG;MAX
3;20;50
9;16;21
10;16;19
12;17;20
15;18;20
11;17;22
13;17;21
3;18;22
8;17;21
13;17;21
14;17;22
14;17;21
14;17;19
12;17;22
8;16;20
12;16;20
12;17;22
15;18;23
6;15;18
12;18;22
16;18;25
14;18;23
13;17;21
16;18;21
10;16;18
13;18;23
16;18;22
13;17;20
14;18;22
3;16;20
3;16;20
3;17;19
13;18;21
3;16;19
3;16;21
13;18;23
13;18;23
12;17;23
10;16;22
13;17;20
10;16;20
11;17;21
12;16;21
11;15;18
14;15;16
10;16;22
13;16;19
3;70;127
27;73;116
58;108;154
61;119;158
64;123;161
42;123;160
63;117;182
47;113;155
7;68;139
13;17;22
13;17;19
11;18;23
3;17;50
14;16;22
12;17;22
15;18;22
12;17;20
12;16;21
15;17;21
13;16;20
11;16;20
10;16;20
14;17;21
12;16;18
