MIN;AVG;MAX
3;206;261
17;224;264
22;230;268
7;212;260
18;185;223
74;180;219
91;192;222
76;186;225
86;191;222
80;185;221
112;188;222
75;192;221
76;192;222
78;183;221
24;143;183
3;120;183
20;54;156
23;53;149
21;56;149
24;60;152
26;63;154
20;62;155
26;67;155
25;66;151
21;46;157
20;54;154
20;47;150
14;60;196
23;62;192
22;56;177
25;68;182
22;68;194
25;67;186
23;80;187
18;62;189
25;69;191
19;76;195
28;72;191
26;65;194
20;68;183
25;52;188
24;65;194
20;70;204
27;68;192
23;64;188
29;78;196
28;74;191
20;84;202
29;84;190
28;71;211
22;71;190
28;78;196
28;84;216
28;88;195
29;87;208
23;90;200
29;92;210
28;81;198
21;81;194
