MIN;AVG;MAX
3;81;115
13;99;152
19;105;141
45;116;154
62;106;148
4;85;159
45;80;103
39;75;103
30;85;112
42;85;117
45;82;117
49;82;105
26;78;102
37;73;104
40;76;95
39;78;97
36;78;105
38;78;113
49;82;107
34;77;102
38;75;104
40;83;124
37;78;97
33;78;109
46;80;111
41;84;115
31;79;110
42;79;106
39;77;107
31;79;110
46;81;116
44;75;103
37;75;105
28;78;126
40;78;125
48;84;119
34;80;106
48;81;113
41;82;108
34;91;117
42;88;112
45;89;112
39;85;124
37;84;124
36;77;113
38;69;105
39;77;111
30;73;101
38;68;78
48;83;117
38;85;110
47;89;133
39;82;119
35;89;108
45;87;117
50;90;122
39;89;111
35;88;112
40;89;126
46;90;118
57;93;122
30;88;115
51;86;114
51;91;132
32;87;125
53;91;125
46;89;116
54;89;121
36;90;117
52;87;110
49;88;113
52;85;109
35;80;104
52;80;121
47;83;112
29;79;108
49;86;141
41;69;99
41;81;126
31;68;99
37;82;111
39;69;87
33;74;102
42;84;116
40;85;108
27;79;97
37;78;100
38;77;100
41;81;112
39;76;98
44;80;112
34;68;97
30;65;100
37;77;114
39;79;115
40;78;124
36;84;114
47;82;106
45;84;118
39;85;122
39;79;105
37;79;108
42;78;103
31;78;106
42;86;117
40;80;120
31;86;118
44;77;110
38;79;103
38;77;115
33;80;106
43;77;104
47;83;114
36;88;126
43;78;108
37;79;106
38;80;105
36;73;124
47;84;122
46;82;126
30;79;119
45;81;107
41;79;115
28;80;111
45;79;113
40;79;98
39;77;121
31;78;101
39;79;121
44;82;125
29;77;103
39;77;106
39;81;105
42;84;128
28;80;127
42;81;108
48;86;115
33;80;125
48;85;115
40;85;109
33;75;106
41;85;127
45;88;115
40;83;127
38;88;126
46;89;130
43;88;128
36;84;115
40;77;101
41;74;113
46;90;138
36;79;121
40;76;117
33;85;123
30;76;115
38;81;105
40;75;113
31;90;133
42;83;111
53;94;124
45;93;119
36;92;116
44;87;133
37;80;113
38;81;121
36;88;134
42;85;109
