MIN;AVG;MAX
3;108;152
7;110;173
21;120;163
3;104;157
42;119;158
55;124;172
57;119;158
61;122;166
39;126;181
109;127;177
58;119;164
39;121;164
53;112;166
58;125;163
110;126;170
43;123;185
58;126;175
59;121;171
60;122;167
36;115;167
57;117;165
53;122;176
52;117;154
38;123;182
55;123;167
62;123;174
56;122;166
40;122;159
56;125;169
58;122;173
38;109;147
51;112;172
48;109;143
54;114;166
37;118;159
40;112;167
4;93;144
51;87;116
52;77;110
35;74;114
54;74;107
56;87;116
29;89;134
48;75;120
52;78;112
34;74;102
45;90;127
52;81;114
54;90;123
43;82;121
48;88;134
66;83;121
43;86;129
48;92;124
62;90;113
53;91;126
