MIN;AVG;MAX
3;101;148
15;115;154
20;116;176
65;122;162
63;120;156
52;114;156
37;106;151
61;111;166
45;110;145
61;118;153
43;116;160
68;120;161
104;120;152
67;120;161
37;108;137
45;111;155
4;101;154
31;89;116
39;84;106
35;69;78
50;77;125
49;70;102
50;68;76
33;78;106
45;74;117
52;85;110
32;80;126
52;81;106
52;81;105
32;86;115
57;88;124
49;84;122
36;77;105
50;73;100
50;90;132
53;91;119
40;80;121
46;73;119
45;88;128
31;80;109
46;86;134
50;83;115
53;86;129
35;85;129
46;77;102
50;71;105
31;69;80
42;74;104
50;78;111
33;86;132
55;81;124
53;86;113
48;84;113
38;87;120
53;88;116
49;81;126
33;70;99
50;84;116
48;84;111
