MIN;AVG;MAX
3;104;152
26;105;153
44;102;143
49;116;168
3;105;147
45;113;150
44;110;152
4;111;162
44;108;171
32;99;157
3;100;139
11;80;128
36;77;100
41;83;128
47;81;103
35;68;104
44;72;95
44;70;93
46;79;106
33;71;96
42;82;126
46;75;102
33;77;120
45;81;118
46;78;110
48;73;102
30;71;95
47;73;104
44;75;93
49;82;113
33;82;112
44;69;97
44;73;110
46;78;129
33;78;123
50;84;137
44;84;129
40;81;115
35;78;117
49;86;123
39;85;127
44;80;105
44;86;118
33;88;106
43;84;108
41;68;96
37;75;111
30;75;113
36;70;101
37;78;102
39;75;113
32;73;103
45;76;104
43;77;113
36;78;106
42;87;108
37;74;93
36;72;109
44;83;112
36;78;128
41;76;109
38;82;125
40;75;96
32;74;101
43;74;95
37;72;120
40;80;119
32;77;121
39;82;111
46;79;111
39;78;113
31;76;108
41;87;108
46;80;109
38;84;113
43;92;116
35;91;127
53;89;122
55;91;128
49;90;112
43;90;112
34;88;132
53;89;117
52;91;119
54;90;117
52;90;120
34;88;119
54;93;121
54;90;122
53;91;117
54;89;126
33;88;122
55;91;113
52;90;122
55;91;114
54;89;111
35;89;123
57;91;116
52;91;116
53;89;105
51;91;116
55;92;125
15;86;117
55;89;119
54;87;106
53;89;115
47;86;112
29;89;118
55;92;120
39;87;116
56;91;121
43;89;112
34;90;135
45;91;121
37;93;132
45;90;116
43;89;114
28;90;112
44;91;116
40;90;112
45;92;130
43;91;119
36;90;116
42;89;113
44;88;116
46;91;123
46;90;117
34;86;114
45;87;116
42;89;117
40;89;121
45;90;110
43;90;112
39;88;112
45;90;122
44;91;129
46;90;111
43;89;105
36;91;128
44;90;107
45;91;118
46;90;112
43;90;118
33;90;114
45;91;111
45;91;114
43;89;110
46;89;107
24;89;113
44;90;117
47;92;120
50;91;119
46;91;128
27;84;107
42;88;120
44;89;108
44;90;128
46;91;137
33;89;112
50;89;117
43;89;112
44;91;125
43;90;120
48;91;115
35;89;112
46;90;121
45;91;126
42;91;111
44;89;120
35;90;118
44;91;125
44;90;122
45;91;120
44;90;119
34;89;113
47;91;120
45;90;109
42;90;108
46;90;113
33;89;114
46;89;115
44;92;120
43;89;115
46;90;107
29;89;117
44;92;136
48;90;116
46;92;115
45;90;124
40;91;123
51;90;118
43;90;115
50;90;119
45;90;126
35;89;130
48;91;115
44;89;115
46;90;121
55;92;119
43;90;113
35;92;126
46;93;118
55;91;126
42;89;112
57;91;113
34;90;123
41;93;136
44;91;123
45;90;117
44;90;120
40;88;115
45;91;133
39;90;113
45;89;106
6;83;110
