MIN;AVG;MAX
3;229;281
17;229;283
75;217;274
5;231;277
18;186;235
94;185;227
65;176;228
87;149;226
113;167;224
76;160;223
74;188;232
105;177;226
50;153;225
72;151;220
96;145;213
54;164;214
68;166;220
102;178;219
83;175;217
94;183;223
96;171;221
66;163;210
102;172;218
110;160;208
123;174;218
103;173;208
75;161;205
103;165;218
50;160;217
56;172;216
106;171;221
89;173;213
71;174;215
70;150;216
67;162;216
101;174;215
82;174;218
94;162;215
99;181;220
73;176;218
59;165;222
68;188;222
67;179;218
65;168;221
63;172;205
103;177;217
69;150;215
69;144;214
72;172;214
63;154;212
99;177;216
103;162;212
54;151;211
72;177;215
