MIN;AVG;MAX
3;227;279
9;245;285
23;250;286
129;253;285
120;250;289
150;244;290
119;255;286
121;254;285
125;257;285
145;259;289
137;254;282
120;251;288
129;254;289
71;253;287
125;252;285
145;255;289
121;254;284
188;258;281
149;251;285
143;255;286
176;256;284
125;253;282
129;254;287
131;247;288
141;256;287
184;256;283
63;247;284
178;259;289
138;253;285
144;255;285
167;252;286
113;250;287
119;256;284
136;255;286
124;251;287
184;253;284
124;253;285
144;254;284
126;246;285
59;250;284
146;254;288
117;251;282
144;256;286
120;252;284
116;254;288
132;255;287
121;252;287
117;255;287
146;254;282
116;256;289
117;250;286
142;257;287
65;255;285
118;255;285
154;256;287
143;255;286
139;256;288
109;257;289
119;257;283
119;256;285
118;255;287
147;255;285
122;258;285
120;257;287
67;255;289
144;257;288
113;254;287
139;257;288
136;258;286
123;256;285
120;254;285
128;256;286
83;233;283
11;220;276
75;190;226
73;192;231
102;179;223
99;181;226
101;192;229
73;190;227
111;184;227
