MIN;AVG;MAX
3;107;182
14;111;153
18;113;182
68;118;175
51;120;177
38;120;171
65;120;159
61;120;153
61;121;180
38;120;171
63;118;158
46;120;160
65;121;168
44;122;176
65;120;155
69;120;172
63;119;151
39;119;200
65;118;167
41;115;156
101;119;158
42;118;157
97;120;162
57;117;157
65;118;160
37;119;163
71;116;168
72;123;174
63;118;161
37;120;164
66;124;172
65;121;174
74;122;160
39;119;157
62;119;162
65;120;158
72;121;173
38;120;180
67;121;196
63;120;170
64;120;182
38;119;159
73;117;152
65;119;165
66;120;168
38;120;190
64;118;171
64;120;186
47;118;174
66;119;166
64;118;161
72;122;181
40;119;166
65;121;170
71;124;170
69;118;157
40;116;155
80;119;172
65;120;159
65;119;170
38;119;176
66;121;169
63;122;174
66;120;163
34;119;156
63;119;175
67;121;170
66;120;182
45;120;175
69;119;182
65;121;166
71;120;189
44;119;164
68;121;161
65;121;169
66;121;171
38;118;190
66;120;175
67;121;164
65;118;169
38;118;169
66;118;156
59;117;173
65;123;190
41;120;159
68;119;161
70;120;156
60;111;145
41;116;167
67;119;153
63;119;157
68;118;163
41;120;165
64;120;182
69;119;157
46;118;159
71;118;163
67;120;192
67;118;156
43;119;172
67;120;179
70;122;190
65;121;169
38;121;188
66;120;162
67;119;160
65;117;168
38;119;164
75;123;176
62;117;160
73;120;156
37;118;159
69;120;167
69;119;163
69;120;177
39;120;159
72;121;166
64;120;168
63;122;166
41;119;170
68;118;179
67;119;155
65;120;165
40;120;169
65;122;176
70;119;168
65;120;156
41;122;183
70;120;184
72;120;167
38;121;173
66;118;189
64;121;182
66;122;179
41;121;171
74;118;170
65;117;156
60;116;158
49;121;174
68;119;172
66;121;182
70;118;157
39;117;152
70;120;166
63;119;156
75;120;194
38;116;152
70;119;170
71;120;166
64;119;157
37;120;170
63;121;170
68;122;168
61;121;177
42;119;174
71;120;162
68;119;169
64;120;171
42;118;180
62;121;155
63;121;180
65;120;168
36;119;185
69;119;166
64;119;171
66;122;186
38;119;168
73;123;171
70;118;167
75;122;163
38;120;158
68;120;174
64;120;160
37;118;149
69;119;173
71;121;167
61;121;175
43;118;176
66;120;159
69;120;169
62;121;165
38;119;166
68;120;162
67;120;170
68;120;169
41;122;181
66;120;164
61;120;162
69;120;157
41;118;166
64;121;176
71;118;156
66;121;173
42;120;168
73;122;177
73;120;176
73;121;170
40;116;166
68;118;176
69;121;157
70;119;161
43;119;186
70;122;169
64;120;175
71;123;174
38;120;190
66;120;167
66;121;163
38;121;152
68;121;168
64;121;183
66;118;152
42;119;165
68;121;165
64;122;174
68;121;160
39;120;175
65;122;185
65;120;167
67;118;158
37;121;175
63;121;175
67;121;173
68;122;167
43;118;169
68;122;171
68;120;176
70;121;160
36;114;162
69;121;182
69;119;157
69;121;165
41;120;172
70;120;162
68;123;181
65;121;181
33;120;180
64;120;160
66;122;185
66;121;174
38;118;163
75;122;172
70;118;176
39;120;168
64;121;161
68;119;172
65;122;176
39;119;183
69;121;181
67;118;160
62;115;156
3;103;158
39;98;141
3;86;123
20;84;112
24;92;119
30;88;147
3;48;59
36;52;61
6;78;131
35;101;138
39;99;137
35;87;111
49;98;148
33;93;126
35;96;139
