MIN;AVG;MAX
3;105;142
15;114;160
20;112;161
66;123;165
68;119;176
75;120;176
39;121;169
3;120;185
23;101;154
36;102;152
3;111;160
44;89;115
47;92;128
43;96;134
32;85;109
44;90;118
46;92;124
44;87;113
34;84;127
40;75;106
38;77;114
29;85;119
44;81;111
38;79;109
31;74;123
32;66;92
47;84;110
40;76;108
33;85;119
45;88;136
44;89;127
36;89;130
37;70;117
46;83;134
34;80;117
37;68;99
41;77;100
46;88;125
34;91;131
47;90;111
40;90;119
34;87;123
45;88;135
40;75;103
40;77;106
34;78;120
43;84;115
43;88;115
36;87;115
45;86;122
40;94;132
39;88;129
40;90;122
39;89;117
49;92;115
45;92;128
36;88;115
50;93;121
44;88;116
41;79;95
32;84;107
36;80;105
38;69;100
37;80;122
46;90;133
44;90;118
43;90;138
41;87;107
47;92;119
44;93;132
37;90;125
42;88;130
45;87;121
42;80;107
32;67;83
40;74;98
47;82;113
33;81;131
43;77;115
34;72;111
30;76;121
44;83;111
40;86;112
41;90;114
39;91;117
48;85;109
43;85;119
40;85;117
34;84;113
41;77;128
41;77;102
26;80;120
34;81;120
44;85;115
41;87;121
33;90;120
55;89;112
55;88;115
47;83;110
30;77;108
48;76;105
39;76;104
36;72;102
45;75;101
47;81;106
31;76;105
48;85;118
50;87;130
48;87;117
43;89;126
48;87;141
46;94;128
52;85;114
35;81;98
51;83;114
46;73;108
31;69;96
47;68;92
45;68;95
41;76;130
40;82;112
48;81;120
42;68;97
36;74;100
47;66;78
46;66;77
34;66;89
30;78;98
