MIN;AVG;MAX
3;199;280
101;205;279
76;209;283
124;221;280
86;212;275
121;225;278
105;216;276
79;221;281
115;233;278
92;226;276
123;219;278
92;215;279
136;230;278
113;222;276
78;218;276
109;227;277
86;222;278
98;206;284
84;233;283
162;232;279
121;233;283
78;234;282
103;231;281
90;234;281
154;231;281
85;220;280
109;204;275
88;228;279
126;233;281
128;217;279
93;236;278
127;238;282
80;235;281
114;219;280
91;230;276
126;236;282
98;234;280
86;226;280
132;228;273
99;232;281
132;232;283
88;228;284
119;234;284
84;224;276
115;217;278
128;231;279
87;228;274
134;236;284
91;215;278
130;227;278
83;233;280
128;237;284
70;222;278
109;201;272
98;175;270
84;229;277
115;234;282
94;236;282
120;232;279
85;231;281
129;230;279
121;235;282
92;235;281
121;235;281
71;232;283
140;225;279
89;236;282
107;236;280
74;218;277
125;214;279
126;232;280
90;236;280
125;235;278
78;220;277
113;208;285
96;230;278
89;223;280
129;225;281
94;232;275
116;229;277
90;234;283
113;225;280
89;235;283
110;226;280
76;225;283
140;230;284
112;205;252
79;225;283
127;229;280
89;226;281
119;230;279
92;208;276
113;228;282
124;223;276
78;223;279
95;204;277
84;199;276
99;222;274
116;220;279
90;210;278
78;202;281
91;217;276
122;224;283
120;227;279
86;232;278
127;231;281
94;232;279
130;233;278
98;234;279
130;232;280
96;232;285
138;236;282
64;228;283
77;216;281
118;224;279
78;205;276
107;226;281
82;210;275
120;223;277
128;229;277
83;224;278
105;209;277
68;195;274
120;223;280
125;235;280
94;224;279
69;158;256
75;188;275
79;214;277
111;209;273
83;228;283
120;232;278
85;220;284
80;207;278
99;190;272
77;205;275
94;193;276
97;223;276
133;235;280
128;235;285
79;229;281
129;235;284
83;233;281
127;231;282
70;220;279
110;235;281
94;237;282
103;226;281
116;230;281
84;223;283
116;226;280
89;218;284
119;218;283
86;223;277
115;226;278
100;208;277
76;163;262
92;191;272
84;216;288
116;228;279
114;228;281
86;221;280
134;229;283
88;226;282
121;234;281
87;235;283
136;234;287
126;222;283
70;198;259
114;205;259
100;227;278
150;237;283
96;232;281
118;230;280
127;219;278
90;225;282
101;201;279
84;232;279
130;241;288
89;237;282
113;235;284
89;225;284
134;238;291
102;229;282
88;231;281
100;233;283
90;237;282
99;234;284
84;224;279
119;202;260
95;220;281
85;235;280
125;237;285
88;234;281
148;240;284
82;211;279
124;207;278
78;231;283
146;235;282
138;232;283
86;228;278
132;228;281
37;199;252
95;205;258
117;207;258
78;201;251
112;201;255
65;193;251
91;181;254
80;150;234
75;190;272
101;194;273
120;213;277
85;227;277
141;236;284
73;222;285
84;204;276
86;226;287
122;235;281
103;219;281
81;183;272
61;187;276
89;174;255
82;195;279
107;230;284
89;232;283
142;232;282
76;214;278
90;228;278
122;225;277
79;222;282
141;227;284
76;224;283
107;229;284
84;231;279
123;236;283
122;218;279
52;217;280
120;236;278
77;230;282
104;221;280
89;226;278
129;229;282
97;229;280
75;225;283
102;222;280
78;223;278
123;235;282
86;236;280
150;231;281
108;207;276
80;236;280
100;231;283
96;225;283
93;210;284
91;194;277
122;224;276
131;238;283
84;217;283
80;163;259
59;189;271
119;231;278
95;225;287
91;231;279
133;229;278
80;235;281
146;234;283
94;236;286
115;233;283
92;228;280
135;231;283
105;230;281
89;232;287
131;238;283
83;230;282
112;236;284
84;227;278
117;236;280
87;226;282
93;198;273
120;228;281
91;229;280
106;224;278
96;219;279
134;234;279
86;234;281
101;227;278
114;204;278
85;193;257
103;203;248
60;206;272
120;227;277
100;232;285
68;209;283
92;165;248
86;181;281
77;207;275
133;228;282
82;229;280
124;232;282
70;216;280
122;226;282
62;186;275
69;170;276
79;199;288
85;219;279
142;226;283
97;234;283
91;233;284
129;231;284
79;207;279
123;236;281
81;231;280
114;229;283
120;222;281
82;231;281
124;236;280
85;227;280
135;235;284
80;226;287
133;231;278
91;240;284
102;234;282
88;235;284
126;225;281
123;225;282
76;205;278
86;216;276
61;185;279
106;210;276
105;230;282
79;227;280
117;228;283
89;231;285
110;226;282
91;229;285
117;228;282
84;230;282
94;231;280
125;230;282
89;213;284
107;203;281
84;227;281
113;231;281
133;229;283
84;233;285
118;230;282
79;225;279
109;226;282
91;226;280
83;219;280
76;161;264
87;214;281
112;235;282
86;232;285
116;229;285
84;229;280
119;231;283
113;230;283
83;215;284
110;223;283
85;229;282
139;226;277
89;226;281
131;232;285
132;233;283
75;228;281
90;233;279
87;238;283
116;235;283
90;219;278
111;222;281
103;208;276
98;224;282
120;204;277
76;227;276
121;233;284
76;225;280
100;204;277
121;212;275
93;225;281
118;233;284
65;218;283
136;231;282
79;226;281
120;231;280
89;200;278
79;214;285
136;230;279
79;220;282
106;196;281
81;193;272
80;213;278
97;217;280
88;222;282
82;199;272
124;227;284
49;178;279
67;208;276
87;229;286
111;202;279
77;182;263
73;189;265
92;196;280
87;208;280
74;232;284
112;226;281
84;225;278
126;232;281
90;235;284
127;225;280
111;222;279
84;234;281
133;228;279
87;234;285
111;232;281
82;215;280
110;227;280
88;193;275
39;211;280
128;232;279
75;227;285
117;232;283
99;227;282
125;235;287
85;237;282
138;227;279
107;231;285
92;231;283
121;222;282
81;210;279
71;207;272
71;149;273
45;182;274
95;223;275
83;229;280
87;202;277
88;209;279
79;217;280
136;227;280
91;218;278
98;225;282
101;222;283
82;221;285
118;214;281
87;225;280
107;222;282
84;201;278
55;161;271
81;177;257
87;224;286
103;220;283
96;231;284
85;222;279
94;217;278
84;229;285
114;227;284
92;225;278
120;232;282
113;229;280
91;225;283
127;220;278
6;214;283
67;206;283
61;205;267
