MIN;AVG;MAX
3;110;171
16;112;166
19;116;170
67;122;162
69;122;174
22;114;150
65;110;136
64;113;149
70;122;174
67;115;150
87;118;163
63;118;152
97;120;180
64;116;151
94;117;155
61;116;160
50;124;203
33;131;158
3;133;158
30;101;145
4;87;122
17;88;122
42;91;124
38;96;136
46;98;137
46;96;136
32;79;126
27;55;78
24;38;46
24;37;50
29;38;45
25;53;87
31;65;86
30;64;76
29;66;82
37;67;88
32;66;83
5;62;85
24;53;74
26;64;88
33;65;79
30;66;84
31;65;82
30;66;81
5;57;78
25;61;80
32;65;78
33;66;83
35;66;88
5;62;78
33;65;84
29;65;81
27;65;85
5;55;76
19;51;82
24;56;72
