MIN;AVG;MAX
3;89;132
15;97;132
13;99;159
51;103;150
4;99;157
60;83;118
31;87;109
55;83;108
38;88;128
59;92;126
67;86;105
64;86;117
33;90;110
56;86;119
57;86;104
53;84;108
34;91;119
49;76;122
10;66;105
19;74;119
32;70;101
50;71;101
50;72;110
39;79;125
54;75;104
49;78;116
63;88;112
37;84;125
49;82;117
52;81;105
58;84;108
31;93;117
68;93;129
63;89;126
33;74;95
54;72;95
45;71;91
53;85;112
33;88;109
63;92;120
60;83;114
59;73;96
31;77;107
51;76;112
52;84;120
35;81;120
56;87;120
63;93;126
67;93;124
34;91;121
58;88;124
51;90;122
34;83;102
20;85;113
57;90;126
61;93;121
29;93;125
57;94;118
61;95;128
63;95;142
34;93;123
59;92;118
62;93;125
58;95;125
35;92;110
60;96;129
62;96;133
64;97;130
30;93;125
66;93;134
26;89;120
60;96;131
37;95;122
60;95;119
64;97;133
15;88;141
13;91;115
60;92;118
60;92;121
78;96;134
15;92;134
11;90;120
22;93;114
16;87;124
21;94;126
32;88;112
65;92;118
33;91;113
66;94;139
60;96;142
65;94;126
39;93;113
62;92;129
59;88;115
64;92;128
31;90;108
61;92;118
3;82;104
37;69;122
36;81;115
39;66;96
36;70;90
38;74;108
42;78;121
45;86;111
44;84;111
33;81;116
42;80;105
38;75;102
47;73;103
34;73;101
37;70;100
41;69;117
30;73;104
41;81;124
45;75;107
46;78;121
36;74;110
42;73;111
43;71;114
23;71;112
44;75;117
44;71;116
32;71;116
43;69;98
45;69;104
44;71;109
26;74;111
42;71;102
45;69;98
24;67;103
45;70;117
44;67;90
35;71;103
44;70;108
45;70;105
43;67;96
29;67;109
47;75;94
54;86;114
31;85;113
42;87;116
52;81;111
44;81;108
34;83;128
49;81;125
48;80;96
45;70;108
32;67;99
47;76;115
40;76;113
32;67;102
36;76;104
47;75;101
43;71;100
29;70;106
43;66;105
44;67;103
26;75;117
46;67;92
45;65;91
37;66;97
44;67;94
42;66;112
33;64;90
44;69;110
47;69;105
39;77;112
32;74;124
49;85;116
37;88;133
33;85;121
44;77;118
39;79;124
40;81;119
29;64;120
40;83;119
49;84;110
34;77;119
43;70;105
39;77;112
27;72;109
38;73;111
36;79;121
26;74;119
39;80;107
42;76;127
40;67;98
29;73;114
46;69;115
45;76;120
31;77;114
45;76;102
42;76;109
40;80;115
31;84;107
57;91;124
54;90;120
51;92;136
34;84;107
53;87;115
53;85;115
35;86;111
53;87;124
53;90;124
55;90;112
35;90;114
54;86;111
49;84;108
53;86;105
37;87;113
56;88;117
50;89;125
43;75;118
31;76;104
47;80;115
47;78;98
55;90;142
39;88;121
42;80;120
38;65;79
30;77;121
42;76;102
44;80;104
44;74;109
33;71;109
45;66;95
45;83;126
31;73;103
48;75;126
43;76;107
43;75;103
31;84;114
52;84;113
55;84;112
36;87;127
54;87;115
50;88;114
55;89;121
31;89;122
57;89;111
56;91;120
52;89;123
39;88;123
52;89;119
52;89;112
55;91;131
47;91;131
35;87;126
31;85;118
50;85;107
37;89;124
51;92;137
56;91;116
37;92;118
54;92;125
58;93;127
22;89;130
