MIN;AVG;MAX
3;219;273
18;218;275
69;229;280
88;234;274
123;233;278
111;234;275
102;234;276
115;234;279
114;232;276
91;228;273
117;228;275
85;235;276
85;234;280
98;231;276
31;231;276
121;236;276
134;232;280
139;229;269
102;228;269
118;229;272
87;231;275
103;234;274
132;239;275
125;238;280
133;237;277
91;232;276
128;232;274
52;222;270
64;213;263
82;227;273
111;216;272
110;230;272
125;236;275
98;232;274
123;230;275
107;213;271
52;207;269
53;212;274
5;198;266
72;215;265
8;223;269
88;213;263
76;198;256
123;198;259
36;197;240
128;219;264
114;211;256
126;226;265
131;229;265
123;213;262
137;224;266
134;228;265
122;227;266
62;214;262
37;226;277
130;237;274
131;239;275
130;236;277
52;223;274
109;217;262
