MIN;AVG;MAX
3;46;124
27;120;168
69;124;166
4;120;156
40;123;168
4;121;174
69;125;162
40;124;165
68;124;158
59;123;168
107;128;177
39;124;160
108;127;163
69;124;165
68;126;170
40;123;153
72;129;177
64;125;174
41;125;162
109;126;164
64;128;188
35;127;174
40;125;166
69;126;169
66;124;171
44;125;185
70;128;198
74;129;183
56;124;164
40;125;172
65;128;168
75;126;162
42;126;166
70;128;169
65;125;163
72;127;177
40;124;162
64;126;163
70;126;179
40;124;159
65;127;172
77;125;168
69;125;170
49;125;161
68;125;161
67;126;167
68;126;164
40;127;176
68;125;173
67;127;181
39;126;198
75;127;169
72;126;170
66;129;177
45;124;176
69;125;170
68;126;167
44;124;164
5;113;169
42;112;166
46;104;158
41;106;146
3;101;143
37;93;135
30;81;118
44;73;95
32;74;109
51;87;115
41;74;109
36;77;116
42;81;112
42;87;121
30;72;115
53;76;113
42;86;118
52;79;98
31;78;112
49;75;96
48;76;118
30;79;108
55;83;112
44;81;110
49;86;131
34;89;117
47;86;117
55;79;114
30;78;104
56;75;114
50;80;100
60;77;103
30;81;109
60;86;119
50;80;109
49;72;94
39;78;113
50;78;111
50;90;126
35;87;113
50;90;111
49;78;115
48;73;112
32;77;109
46;66;96
47;75;114
37;80;118
54;87;119
49;90;122
34;86;116
47;78;126
46;79;117
44;75;107
33;76;102
45;74;101
43;72;105
26;76;110
48;79;118
40;81;112
51;82;115
31;84;114
63;84;115
49;87;113
33;81;105
48;72;108
51;72;102
48;65;86
26;67;89
54;72;96
43;81;106
31;72;116
43;70;104
41;74;107
34;65;88
51;70;94
42;85;109
50;88;117
36;88;114
55;91;123
52;84;121
35;84;114
44;82;113
46;88;117
36;92;125
38;74;119
44;68;97
48;84;115
